codigo;febraban;nome;website
747;true;Banco Rabobank International Brasil S.A.;www.rabobank.com.br
;false;Banco Randon S.A.;www.bancorandon.com
;true;Banco RCI Brasil S.A.;www.bancorenault.com.br
633;true;Banco Rendimento S.A.;www.rendimento.com.br
741;false;Banco Ribeirão Preto S.A.;www.brp.com.br
720;false;BANCO RNX S.A;www.bancomaxinvest.com.br
120;true;Banco Rodobens S.A.;www.rodobens.com.br
422;true;Banco Safra S.A.;www.safra.com.br
33;true;Banco Santander (Brasil) S.A.;www.santander.com.br
743;true;Banco Semear S.A.;www.bancosemear.com.br
754;false;Banco Sistema S.A.;www.btgpactual.com
630;true;Banco Smartbank S.A.;
366;true;Banco Société Générale Brasil S.A.;www.sgbrasil.com.br
637;false;Banco Sofisa S.A.;www.sofisa.com.br
464;true;Banco Sumitomo Mitsui Brasileiro S.A.;www.smbcgroup.com.br
82;true;Banco Topázio S.A.;www.bancotopazio.com.br
;true;Banco Toyota do Brasil S.A.;www.bancotoyota.com.br
634;true;Banco Triângulo S.A.;www.tribanco.com.br
18;false;Banco Tricury S.A.;www.bancotricury.com.br
;false;Banco Vipal S.A.;www.bancovipal.com.br
;false;Banco Volkswagen S.A.;www.bancovw.com.br
;true;Banco Volvo Brasil S.A.;Não possui site
655;true;Banco Votorantim S.A.;www.bancovotorantim.com.br
610;true;Banco VR S.A.;www.vrinvestimentos.com.br
119;true;Banco Western Union do Brasil S.A.;www.bancowesternunion.com.br
124;false;Banco Woori Bank do Brasil S.A.;www.wooribank.com.br
102;true;Banco XP S.A.;
;true;Banco Yamaha Motor do Brasil S.A.;www.yamaha-motor.com.br
81;false;BancoSeguro S.A.;www.rendimento.com.br
21;true;BANESTES S.A. Banco do Estado do Espírito Santo;www.banestes.com.br
755;true;Bank of America Merrill Lynch Banco Múltiplo S.A.;www.ml.com
;false;BB Banco de Investimento S.A.;www.bb.com.br
250;true;BCV - Banco de Crédito e Varejo S.A.;www.bancobcv.com.br
