codigo;denominacao
152;TAILANDIA                               
258;TADJIQUISTAO                            
153;TANZANIA                                
217;T. BRIT. DO OCEANO INDICO               
154;TCHECOSLOVAQUIA                         
158;TUNISIA                                 
250;TURCOMENISTAO                           
221;UCRANIA                                 
268;UZBEQUISTAO                             
169;ZAMBIA                                  
