"Estado Civil"
"SOLTEIRO"
"CASADO"
"SEPARADO JUDICIALMENTE"
"VIUVO"
"DESQUITADO"
"OUTROS"
"SEPARADO CONSENSUALMENTE"
"DIVORCIADO"
"DESCONHECIDO"
"UNIÃO ESTÁVEL"
"HOMOAFETIVA"
