"Descrição"
"Analfabeto                              "
"Alfabetizado sem cursos regulares       "
"Ensino fundamental                      "
"Ensino médio"
"Ensino superior                         "
"Aperfeiçoamento       "
"Especializacao                          "
"Mestrado                                "
"Doutorado                               "
"Pós-doutorado"
"Livre docência"
"4a. Série do primeiro grau completa"
"Não Informada"
